Date,Open,High,Low,Close,Adj Close,Volume
2022-02-17,21.709999,23.090000,21.620001,22.959999,22.959999,67194700
2022-02-18,23.180000,24.070000,22.799999,23.450001,23.450001,75873700
2022-02-22,23.790001,24.620001,22.879999,23.360001,23.360001,86877400
2022-02-23,22.730000,24.770000,22.650000,24.700001,24.700001,76133500
2022-02-24,27.400000,27.450001,23.770000,23.924999,23.924999,110653700
2022-02-25,23.719999,24.200001,22.620001,22.950001,22.950001,65153500
2022-02-28,24.700001,24.969999,23.549999,24.000000,24.000000,74178800
2022-03-01,24.650000,26.969999,24.320000,26.670000,26.670000,72612800
2022-03-02,26.309999,26.490000,24.700001,24.959999,24.959999,53362500
2022-03-03,24.680000,25.770000,24.340000,25.110001,25.110001,52247000
2022-03-04,26.490000,27.320000,26.025000,26.200001,26.200001,61525300
2022-03-07,26.299999,28.530001,26.260000,28.490000,28.490000,66983300
2022-03-08,28.260000,29.360001,26.680000,28.150000,28.150000,88667700
2022-03-09,26.695000,27.219999,26.200001,27.030001,27.030001,63120700
2022-03-10,27.400000,27.530001,25.809999,25.830000,25.830000,49045000
2022-03-11,25.030001,26.430000,24.990000,26.340000,26.340000,51116600
2022-03-14,26.209999,30.750000,25.450001,28.809999,28.809999,66570700
2022-03-15,30.889999,41.650002,28.700001,28.700001,28.700001,52589200
2022-03-16,29.540001,29.670000,25.889999,25.950001,25.950001,15644000
2022-03-17,26.400000,27.540001,25.799999,26.150000,26.150000,8647700
2022-03-18,27.379999,27.879999,24.639999,25.000000,25.000000,9717500
2022-03-21,24.790001,26.320000,23.889999,26.010000,26.010000,9679300
2022-03-22,25.540001,25.650000,24.480000,25.445000,25.445000,4890400
2022-03-23,25.900000,25.990000,24.480000,25.490000,25.490000,4934700
2022-03-24,25.020000,26.030001,24.750000,25.200001,25.200001,3591000
2022-03-25,25.049999,25.780001,24.940001,25.200001,25.200001,4481500
2022-03-28,25.719999,30.469999,25.400000,25.730000,25.730000,10903200
2022-03-29,25.100000,25.490000,24.219999,24.850000,24.850000,5172500
2022-03-30,25.280001,25.809999,24.780001,25.000000,25.000000,3986400
2022-03-31,25.330000,26.020000,25.209999,25.700001,25.700001,2966400
2022-04-01,25.570000,25.889999,25.000000,25.030001,25.030001,3073500
2022-04-04,25.010000,25.280001,23.990000,24.430000,24.430000,3641900
2022-04-05,24.600000,25.889999,24.171000,24.809999,24.809999,4502300
2022-04-06,26.010000,26.469999,24.350000,24.379999,24.379999,4747100
2022-04-07,24.680000,24.950001,24.010000,24.049999,24.049999,3285200
2022-04-08,24.350000,25.000000,23.715000,24.670000,24.670000,2781400
2022-04-11,25.379999,26.100000,24.750000,26.100000,26.100000,3504900
2022-04-12,25.180000,26.370001,24.700001,25.740000,25.740000,4329700
2022-04-13,25.750000,26.020000,24.530001,24.590000,24.590000,2951700
2022-04-14,24.520000,25.070000,24.150000,24.990000,24.990000,2932600
2022-04-18,25.150000,25.589001,24.840000,25.309999,25.309999,2518300
2022-04-19,25.080000,25.240000,24.459999,24.730000,24.730000,2553800
2022-04-20,24.360001,25.170000,24.309999,24.389999,24.389999,1708800
2022-04-21,24.200001,25.219999,24.010000,24.860001,24.860001,2631900
2022-04-22,24.870001,26.500000,24.809999,26.150000,26.150000,4436400
2022-04-25,26.600000,26.969999,24.799999,24.799999,24.799999,5422600
2022-04-26,25.230000,27.160000,25.209999,26.350000,26.350000,4749700
2022-04-27,26.010000,27.250000,25.510000,27.200001,27.200001,6069900
2022-04-28,25.900000,27.709999,25.500000,26.040001,26.040001,5054900
2022-04-29,26.510000,28.150000,26.090000,27.709999,27.709999,6171800
2022-05-02,28.889999,29.280001,27.500000,27.500000,27.500000,5275200
2022-05-03,27.139999,27.809999,26.770000,27.049999,27.049999,2461700
2022-05-04,26.580000,26.840000,24.850000,24.850000,24.850000,4701100
2022-05-05,25.059999,27.580000,25.059999,27.000000,27.000000,7728300
2022-05-06,27.400000,28.459999,26.639999,27.070000,27.070000,5865100
2022-05-09,28.330000,28.690001,27.320000,28.010000,28.010000,4473500
2022-05-10,26.799999,28.430000,26.549999,27.055000,27.055000,4548500
2022-05-11,27.150000,27.700001,26.030001,27.280001,27.280001,2744100
2022-05-12,27.459999,28.190001,26.580000,26.930000,26.930000,3659100
2022-05-13,26.270000,26.480000,25.770000,25.969999,25.969999,3174500
2022-05-16,26.000000,26.190001,24.400000,24.690001,24.690001,4166500
2022-05-17,24.070000,25.740000,24.070000,24.790001,24.790001,3598600
2022-05-18,25.299999,26.469999,24.520000,26.090000,26.090000,5234900
2022-05-19,26.290001,26.860001,25.280001,25.355000,25.355000,4407700
2022-05-20,24.900000,26.500000,24.725000,25.049999,25.049999,6747100
2022-05-23,24.809999,25.629999,23.330000,24.059999,24.059999,5864400
2022-05-24,24.400000,25.000000,23.920000,24.030001,24.030001,5019800
2022-05-25,24.400000,24.450001,23.100000,23.650000,23.650000,3020500
2022-05-26,23.389999,23.420000,22.889999,23.260000,23.260000,3247900
2022-05-27,22.719999,22.870001,22.200001,22.459999,22.459999,3282600
2022-05-31,22.799999,23.048000,22.200001,22.559999,22.559999,3632600
2022-06-01,22.150000,23.200001,21.959999,22.260000,22.260000,3157900
2022-06-02,22.389999,22.540001,21.700001,21.700001,21.700001,3444100
2022-06-03,22.160000,22.671000,21.840000,21.889999,21.889999,3225500
2022-06-06,21.610001,22.450001,21.514999,22.030001,22.030001,3860700
2022-06-07,22.010000,22.340000,21.610001,21.670000,21.670000,2881600
2022-06-08,21.750000,21.959999,21.400000,21.799999,21.799999,2275400
2022-06-09,21.750000,23.340000,21.570000,23.129999,23.129999,4289300
